,AirfoilName
0,a18-il
1,a18sm-il
2,a63a108c-il
3,ag03-il
4,ag04-il
5,ag08-il
6,ag09-il
7,ag10-il
8,ag11-il
9,ag12-il
10,ag13-il
11,ag14-il
12,ag16-il
13,ag17-il
14,ag18-il
15,ag19-il
16,ag24-il
17,ag25-il
18,ag26-il
19,ag27-il
20,ag35-il
21,ag36-il
22,ag37-il
23,ag38-il
24,ag44ct02r-il
25,ag455ct02r-il
26,ag45c03-il
27,ag45ct02r-il
28,ag46c03-il
29,ag46ct02r-il
30,ag47c03-il
31,ag47ct02r-il
32,ah21-7-il
33,ah21-9-il
34,ah63k127-il
35,ah6407-il
36,ah7476-il
37,ah79100a-il
38,ah79100b-il
39,ah79100c-il
40,ah79k132-il
41,ah79k135-il
42,ah79k143-il
43,ah80129-il
44,ah80136-il
45,ah80140-il
46,ah81131-il
47,ah81k144-il
48,ah81k144wfklappe-il
49,ah82150a-il
50,ah82150f-il
51,ah83150q-il
52,ah83159-il
53,ah85l120-il
54,ah88k130-il
55,ah88k136-il
56,ah93156-il
57,ah93157-il
58,ah93k130-il
59,ah93k131-il
60,ah93k132-il
61,ah93w145-il
62,ah93w174-il
63,ah93w215-il
64,ah93w257-il
65,ah93w300-il
66,ah93w480b-il
67,ah94145-il
68,ah94156-il
69,ah94w301-il
70,ah95160-il
71,ames01-il
72,ames02-il
73,ames03-il
74,amsoil1-il
75,amsoil2-il
76,apex16-il
77,aquilasm-il
78,arad10-il
79,arad13-il
80,arad20-il
81,arad6-il
82,as5045-il
83,as5046-il
84,as5048-il
85,atr72sm-il
86,august160-il
87,avistar-il
88,b29root-il
89,b29tip-il
90,b540ols-il
91,b707a-il
92,b707b-il
93,b707c-il
94,b707d-il
95,b707e-il
96,b737a-il
97,b737b-il
98,b737c-il
99,b737d-il
100,bacj-il
101,bacnlf-il
102,bacxxx-il
103,bambino6-il
104,be50-il
105,be50sm-il
106,boe103-il
107,boe106-il
108,bqm34-il
109,bw3-il
110,c141a-il
111,c141b-il
112,c141c-il
113,c141d-il
114,c141e-il
115,c141f-il
116,c5a-il
117,c5b-il
118,c5c-il
119,c5d-il
120,c5e-il
121,cap21c-il
122,cast102-il
123,ch10sm-il
124,chen-il
125,clarkk-il
126,clarkv-il
127,clarkw-il
128,clarkx-il
129,clarky-il
130,clarkyh-il
131,clarkys-il
132,clarkysm-il
133,clarkz-il
134,clarym15-il
135,clarym18-il
136,coanda1-il
137,coanda2-il
138,coanda3-il
139,cootie-il
140,cp-060-050-gn
141,cp-080-050-gn
142,cp-100-050-gn
143,cp-120-050-gn
144,cp-140-050-gn
145,cp-160-050-gn
146,cp-180-050-gn
147,cr001sm-il
148,cr1-il
149,curtisc72-il
150,dae11-il
151,dae21-il
152,dae31-il
153,dae51-il
154,davis-corrected-il
155,davis-il
156,davissm-il
157,daytonwright6-il
158,daytonwrightt1-il
159,dbln526-il
160,defcnd1-il
161,defcnd2-il
162,defcnd3-il
163,df101-il
164,df102-il
165,dfvlrr4-il
166,dga1138-il
167,dga1182-il
168,dh4009sm-il
169,doa5-il
170,dormoy-il
171,drgnfly-il
172,dsma523a-il
173,dsma523b-il
174,du06-w-200-dt
175,du84132v-il
176,du8608418-il
177,du861372-il
178,e1098-il
179,e1200-il
180,e1210-il
181,e1211-il
182,e1212-il
183,e1212mod-il
184,e1213-il
185,e1214-il
186,e1230-il
187,e1233-il
188,e168-il
189,e169-il
190,e171-il
191,e174-il
192,e176-il
193,e178-il
194,e180-il
195,e182-il
196,e184-il
197,e186-il
198,e193-il
199,e195-il
200,e197-il
201,e201-il
202,e203-il
203,e205-il
204,e207-il
205,e209-il
206,e210-il
207,e211-il
208,e212-il
209,e214-il
210,e216-il
211,e220-il
212,e221-il
213,e222-il
214,e224-il
215,e226-il
216,e228-il
217,e230-il
218,e231-il
219,e266-il
220,e297-il
221,e325-il
222,e326-il
223,e327-il
224,e328-il
225,e329-il
226,e330-il
227,e331-il
228,e332-il
229,e333-il
230,e334-il
231,e335-il
232,e336-il
233,e337-il
234,e338-il
235,e339-il
236,e340-il
237,e341-il
238,e342-il
239,e343-il
240,e344-il
241,e360-il
242,e361-il
243,e374-il
244,e376-il
245,e377-il
246,e377m-il
247,e378-il
248,e379-il
249,e385-il
250,e387-il
251,e392-il
252,e393-il
253,e395-il
254,e396-il
255,e397-il
256,e398-il
257,e399-il
258,e403-il
259,e407-il
260,e417-il
261,e420-il
262,e421-il
263,e422-il
264,e423-il
265,e426-il
266,e428-il
267,e431-il
268,e432-il
269,e433-il
270,e434-il
271,e435-il
272,e471-il
273,e472-il
274,e473-il
275,e474-il
276,e475-il
277,e479-il
278,e485-il
279,e49-il
280,e502-il
281,e520-il
282,e521-il
283,e540-il
284,e541-il
285,e542-il
286,e543-il
287,e544-il
288,e545-il
289,e546-il
290,e547-il
291,e548-il
292,e549-il
293,e550-il
294,e551-il
295,e552-il
296,e553-il
297,e554-il
298,e555-il
299,e556-il
300,e557-il
301,e558-il
302,e559-il
303,e560-il
304,e561-il
305,e562-il
306,e58-il
307,e580-il
308,e582-il
309,e583-il
310,e584-il
311,e585-il
312,e587-il
313,e59-il
314,e591-il
315,e593-il
316,e598-il
317,e603-il
318,e604-il
319,e61-il
320,e62-il
321,e625-il
322,e63-il
323,e635-il
324,e636-il
325,e637-il
326,e638-il
327,e639-il
328,e64-il
329,e642-il
330,e654-il
331,e655-il
332,e656-il
333,e657-il
334,e66-il
335,e662-il
336,e664-il
337,e668-il
338,e67-il
339,e678-il
340,e68-il
341,e682-il
342,e694-il
343,e71-il
344,e715-il
345,e748-il
346,e793-il
347,e817-il
348,e818-il
349,e836-il
350,e837-il
351,e838-il
352,e850-il
353,e851-il
354,e852-il
355,e853-il
356,e854-il
357,e855-il
358,e856-il
359,e857-il
360,e858-il
361,e862-il
362,e863-il
363,e864-il
364,e874-il
365,e904-il
366,e908-il
367,ea61009-il
368,ea61012-il
369,ea81006-il
370,ebambino7-il
371,ec863914-il
372,eh0009-il
373,eh1070-il
374,eh1090-il
375,eh1590-il
376,eh2010-il
377,eh2012-il
378,eh2070-il
379,eh2510-il
380,eh3012-il
381,eiffel10-il
382,eiffel371-il
383,eiffel385-il
384,eiffel428-il
385,eiffel430-il
386,esa40-il
387,falcon-il
388,fauvel-il
389,fg1-il
390,fg2-il
391,fg3-il
392,fg4-il
393,fx049915-il
394,fx05188-il
395,fx05191-il
396,fx057816-il
